rate,name
0.818,Angeling
0.818,Deviling
0.818,Strouf
0.205,Goblin Leader
0.205,Mistress
0.409,Maya
0.205,Atroce
0.205,Osiris
0.041,Moonlight Flower
0.205,Doppelganger
0.818,Orc Lord
0.818,Detarderous
0.409,Bloody Knight
0.205,Baphomet
0.409,Arc Angeling
0.818,Kobold Leader
0.818,Dark Lord
0.818,Dracula
0.818,Time Holder
0.205,Spashire
0.818,Garm
0.818,Stormy Knight
0.818,Firelord Kaho
0.818,Bloody Murderer
0.818,Wolf Grandma
0.818,Eremes
0.409,Deeven
0.818,Valkyrie Rathgricy
0.818,Tesseract
0.818,Mentalist
0.818,Runemaster Thanatos
0.082,Drake
0.205,Golden Thief Bug
0.205,Katerina
0.082,Orc Hero
0.818,Ktullanux
0.818,Hill Wind
0.818,Gloom Under Night
0.818,Poi Tata
0.409,Snake Gorgon
0.818,Wasteland Lord
0.041,Eddga
0.205,Phreeoni
0.818,Soul Player
0.205,Sea Spirit Totem
2.273,Vocal
2.273,Ghostring
2.273,Rotar Zairo
2.273,Wood Goblin
2.273,Gryphon
2.273,Orc Baby
2.273,Jakk
2.273,Mutant Dragonoid
2.273,Mysteltainn
2.273,Zherlthsh
2.273,Anubis
2.273,Hyegun
2.273,Clock
2.273,Clock Tower Manager
2.273,Rafflesia
2.273,Chepet
2.273,Loli Ruri
2.273,Cenia
2.273,Deje
2.273,Owl Duke
2.273,Toad
2.273,Eclipse
2.273,Vagabond Wolf
2.273,Fire Witch
2.273,Alice
2.273,Gazeti
2.273,Fallen Bishop
2.273,Whitebait Lake Lord
2.273,Mao Guai Calvin
2.273,Maple Fairy Yzma
2.273,Fire Bird Chiri
2.273,Limunus
2.273,Gem Spirit
